WEEK 1:,,,
,Las Vegas Raiders @ Los Angeles Chargers,4:05 PM,SoFi Stadium Inglewood CA
,New England Patriots @ Dallas Cowboys,4:25 PM,AT&T Stadium Arlington TX
,Arizona Cardinals @ San Francisco 49ers,4:25 PM,Levi's Stadium Santa Clara CA
,Kansas City Chiefs @ New York Jets,8:20 PM,MetLife Stadium East Rutherford NJ
Monday October 2 2023,Seattle Seahawks @ New York Giants,8:15 PM,MetLife Stadium East Rutherford NJ
WEEK 5:,,,
Thursday October 5 2023,Chicago Bears @ Washington Commanders,8:15 PM,FedExField Landover MD
Sunday October 8 2023,Jacksonville Jaguars @ Buffalo Bills,9:30 AM,Tottenham Hotspur Stadium London
,Houston Texans @ Atlanta Falcons,1:00 PM,Mercedes-Benz Stadium Atlanta GA
,Carolina Panthers @ Detroit Lions,1:00 PM,Ford Field Detroit MI
,Tennessee Titans @ Indianapolis Colts,1:00 PM,Lucas Oil Stadium Indianapolis IN
,New York Giants @ Miami Dolphins,1:00 PM,Hard Rock Stadium Miami Gardens FL
,New Orleans Saints @ New England Patriots,1:00 PM,Gillette Stadium Foxboro MA
,Baltimore Ravens @ Pittsburgh Steelers,1:00 PM,Acrisure Stadium Pittsburgh PA
,Philadelphia Eagles @ Los Angeles Rams,4:05 PM,SoFi Stadium Inglewood CA
,Cincinnati Bengals @ Arizona Cardinals,4:05 PM,State Farm Stadium Glendale AZ
,New York Jets @ Denver Broncos,4:25 PM,Empower Field at Mile High Denver CO
,Kansas City Chiefs @ Minnesota Vikings,4:25 PM,U.S. Bank Stadium Minneapolis MN
,Dallas Cowboys @ San Francisco 49ers,8:20 PM,Levi's Stadium Santa Clara CA
Monday October 9 2023,Green Bay Packers @ Las Vegas Raiders,8:15 PM,Allegiant Stadium Las Vegas NV
WEEK 6:,,,
Thursday October 12 2023,Denver Broncos @ Kansas City Chiefs,8:15 PM,GEHA Field at Arrowhead Stadium Kansas City MO
Sunday October 15 2023,Baltimore Ravens @ Tennessee Titans,9:30 AM,Tottenham Hotspur Stadium London
,Washington Commanders @ Atlanta Falcons,1:00 PM,Mercedes-Benz Stadium Atlanta GA
,Minnesota Vikings @ Chicago Bears,1:00 PM,Soldier Field Chicago IL
,Seattle Seahawks @ Cincinnati Bengals,1:00 PM,Paycor Stadium Cincinnati OH
,San Francisco 49ers @ Cleveland Browns,1:00 PM,Cleveland Browns Stadium Cleveland OH
,Carolina Panthers @ Miami Dolphins,1:00 PM,Hard Rock Stadium Miami Gardens FL
,Detroit Lions @ Tampa Bay Buccaneers,1:00 PM,Raymond James Stadium Tampa FL
,Indianapolis Colts @ Jacksonville Jaguars,1:00 PM,TIAA Bank Field Jacksonville FL
,New Orleans Saints @ Houston Texans,1:00 PM,NRG Stadium Houston TX
,New England Patriots @ Las Vegas Raiders,4:05 PM,Allegiant Stadium Las Vegas NV
,Arizona Cardinals @ Los Angeles Rams,4:25 PM,SoFi Stadium Inglewood CA
,Philadelphia Eagles @ New York Jets,4:25 PM,MetLife Stadium East Rutherford NJ
,New York Giants @ Buffalo Bills,8:20 PM,Highmark Stadium Orchard Park NY
Monday October 16 2023,Dallas Cowboys @ Los Angeles Chargers,8:15 PM,SoFi Stadium Inglewood CA
WEEK 7:,,,
Thursday October 19 2023,Jacksonville Jaguars @ New Orleans Saints,8:15 PM,Caesars Superdome New Orleans LA
